"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CancerReport","","","",0,*,"","","","","Base for all elements","Base definition for all elements in a resource.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"CancerReport.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CancerReport.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"CancerReport.Patient","","","",1,1,"","","","","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient",1,1,"",""
"CancerReport.Patient.Name","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Name",1,1,"",""
"CancerReport.Patient.Vorname","","","",1,*,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Vorname",1,*,"",""
"CancerReport.Patient.Geschlecht","","","",1,1,"","","","code {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Geschlecht",1,1,"",""
"CancerReport.Patient.AHV-Nummer","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.AHV-Nummer",1,1,"",""
"CancerReport.Patient.Geburtsdatum","","","",1,1,"","","","date {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Geburtsdatum",1,1,"",""
"CancerReport.Patient.Verstorben","","","",1,1,"","","","","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Verstorben",1,1,"",""
"CancerReport.Patient.Verstorben.Nein","","","",0,1,"","","","boolean {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Verstorben.Nein",0,1,"",""
"CancerReport.Patient.Verstorben.Todesdatum","","","",0,1,"","","","date {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Verstorben.Todesdatum",0,1,"",""
"CancerReport.Patient.Wohnadresse","","","",1,1,"","","","Element {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Wohnadresse",1,1,"",""
"CancerReport.Patient.Wohnadresse.Strasse","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Wohnadresse.Strasse",0,1,"",""
"CancerReport.Patient.Wohnadresse.Nummer","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Wohnadresse.Nummer",0,1,"",""
"CancerReport.Patient.Wohnadresse.Postfach","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Wohnadresse.Postfach",0,1,"",""
"CancerReport.Patient.Wohnadresse.PLZ","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Wohnadresse.PLZ",1,1,"",""
"CancerReport.Patient.Wohnadresse.Ort","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"CancerReport.Patient.Wohnadresse.Ort",0,1,"",""
